"country","v2productcategory","total_units_sold"
"Australia","(not set)","1"
"Australia","Home/Apparel/Men's/","1"
"Australia","Home/Accessories/Stickers/","2"
"Australia","Home/Shop by Brand/YouTube/","2"
"Austria","Home/Accessories/Housewares/","1"
"Belarus","Home/Shop by Brand/Google/","2"
"Belgium","Home/Drinkware/Water Bottles and Tumblers/","2"
"Bulgaria","Home/Apparel/Men's/Men's-T-Shirts/","3"
"Canada","Home/Drinkware/Water Bottles and Tumblers/","1"
"Canada","Home/Electronics/","1"
"Canada","Home/Shop by Brand/YouTube/","45"
"Chile","Home/Bags/","2"
"Colombia","Home/Office/Office Other/","1"
"Colombia","Home/Apparel/Men's/Men's-T-Shirts/","6"
"Czechia","(not set)","167"
"Denmark","Home/Drinkware/","1"
"Dominican Republic","Home/Apparel/Men's/Men's-T-Shirts/","8"
"Egypt","Home/Shop by Brand/Android/","10"
"Finland","(not set)","5"
"France","Home/Apparel/Headgear/","1"
"France","Home/Shop by Brand/","1"
"France","Home/Shop by Brand/Android/","1"
"France","Headgear","1"
"France","Home/Accessories/","4"
"Germany","Home/Office/","1"
"Germany","Home/Apparel/Headgear/","1"
"Germany","Home/Drinkware/","12"
"Guatemala","Home/Apparel/Headgear/","1"
"Hong Kong","Home/Apparel/Men's/Men's-T-Shirts/","1"
"Hong Kong","Home/Apparel/","1"
"Hong Kong","Home/Electronics/Electronics Accessories/","120"
"India","Home/Apparel/Headgear/","1"
"India","Home/Electronics/Audio/","1"
"India","Home/Shop by Brand/YouTube/","1"
"India","Home/Apparel/Men's/Men's-T-Shirts/","3"
"Indonesia","Home/Shop by Brand/Android/","1"
"Indonesia","Home/Bags/Backpacks/","3"
"Ireland","Home/Bags/","2"
"Israel","Home/Apparel/Men's/Men's-T-Shirts/","1"
"Japan","Home/Office/","3"
"Japan","Home/Shop by Brand/Google/","28"
"Maldives","Home/Apparel/Men's/Men's-Outerwear/","2"
"Mexico","Home/Apparel/Men's/Men's-T-Shirts/","1"
"Mexico","Home/Nest/Nest-USA/","10"
"Netherlands","Home/Shop by Brand/YouTube/","1"
"Netherlands","Home/Apparel/Men's/Men's-T-Shirts/","5"
"Norway","Home/Apparel/Women's/Women's-T-Shirts/","1"
"Panama","Home/Apparel/Men's/Men's-T-Shirts/","1"
"Portugal","Home/Bags/","1"
"Romania","(not set)","2"
"Russia","Home/Accessories/Housewares/","4"
"Singapore","(not set)","2"
"Singapore","Home/Nest/Nest-USA/","3"
"South Korea","Home/Electronics/Electronics Accessories/","1"
"South Korea","Home/Apparel/","2"
"Spain","(not set)","1"
"Sri Lanka","Home/Apparel/Men's/Men's-T-Shirts/","4"
"Sweden","Home/Drinkware/Mugs and Cups/","1"
"Sweden","Home/Electronics/","1"
"Sweden","(not set)","5"
"Switzerland","Home/Accessories/Stickers/","1"
"Switzerland","Home/Electronics/","1"
"Switzerland","Home/Apparel/Men's/Men's-T-Shirts/","5"
"Taiwan","Home/Accessories/Housewares/","1"
"Taiwan","Home/Apparel/Men's/","1"
"Taiwan","Home/Apparel/Men's/Men's-Performance Wear/","1"
"Taiwan","(not set)","17"
"Thailand","Home/Bags/","2"
"Thailand","Home/Drinkware/","4"
"United Kingdom","Home/Shop by Brand/YouTube/","1"
"United Kingdom","Home/Bags/","6"
"United Kingdom","(not set)","6"
"United States","Home/Accessories/Drinkware/","1"
"United States","Home/Apparel/Kid's/Kids-Youth/","1"
"United States","Home/Accessories/Pet/","22665"
"Uruguay","Home/Apparel/Men's/Men's-T-Shirts/","1"
"Vietnam","Home/Shop by Brand/YouTube/","2"
