"city","v2productname","total_units_sold"
"Mountain View","Waze Baby on Board Window Decal","5807"
"New York","Collapsible Shopping Bag","1410"
"San Bruno","22 oz YouTube Bottle Infuser","1397"
"Charlotte","Google Lunch Bag","776"
"Sunnyvale","Google Hard Cover Journal","501"
"San Jose","22 oz Android Bottle","347"
"Chicago","Google Men's 100% Cotton Short Sleeve Hero Tee White","337"
"Chicago","Google Alpine Style Backpack","337"
"Salem","Google Men's  Zip Hoodie","246"
"Los Angeles","Basecamp Explorer Powerbank Flashlight","163"
