"city","total_revenue","visitors","total_sessions"
"San Francisco","1564.3200000000002","12","12"
"Sunnyvale","992.23","4","4"
"Atlanta","854.44","2","2"
"Palo Alto","608","3","3"
"Tel Aviv-Yafo","602","1","1"
"New York","598.35","9","9"
"Mountain View","483.36","8","8"
"Los Angeles","479.48","2","2"
"Chicago","449.52","3","3"
"Sydney","358","1","1"
"Seattle","358","1","1"
"San Jose","262.38","2","2"
"Austin","157.78","2","2"
"Nashville","157","1","1"
"San Bruno","103.77","1","1"
"Toronto","82.16","1","1"
"Houston","38.98","1","1"
"Columbus","21.99","1","1"
"Zurich","16.99","1","1"
